"","id_rec","day","system","channel","group","hour","wave","wavename","perc","num","mean","batch"
"1","1","8","3","4","Riv_SA","1","1","non probing",5.85583333333334,5,1.17116666666667,"batch_2"
"2","1","8","3","4","Riv_SA","1","2","pathway",84.6316666666666,8,10.5789583333333,"batch_2"
"3","1","8","3","4","Riv_SA","1","4","salivation phloem",9.51250000000002,3,3.17083333333334,"batch_2"
"4","1","8","3","4","Riv_SA","1","5","phloem feeding",0,0,NA,"batch_2"
"5","1","8","3","4","Riv_SA","1","6","penetration difficulties",0,0,NA,"batch_2"
"6","1","8","3","4","Riv_SA","1","7","xylem ingestion",0,0,NA,"batch_2"
"7","1","8","3","4","Riv_SA","1","3","3",0,0,NA,"batch_2"
"8","1","8","3","4","Riv_SA","2","1","non probing",5.67999999999999,4,1.42,"batch_2"
"9","1","8","3","4","Riv_SA","2","2","pathway",76.2963888888889,4,19.0740972222222,"batch_2"
"10","1","8","3","4","Riv_SA","2","4","salivation phloem",4.92361111111111,3,1.6412037037037,"batch_2"
"11","1","8","3","4","Riv_SA","2","5","phloem feeding",8.38444444444446,3,2.79481481481482,"batch_2"
"12","1","8","3","4","Riv_SA","2","6","penetration difficulties",0,0,NA,"batch_2"
"13","1","8","3","4","Riv_SA","2","7","xylem ingestion",0,0,NA,"batch_2"
"14","1","8","3","4","Riv_SA","2","3","3",0,0,NA,"batch_2"
"15","1","8","3","4","Riv_SA","3","1","non probing",0,0,NA,"batch_2"
"16","1","8","3","4","Riv_SA","3","2","pathway",0,0,NA,"batch_2"
"17","1","8","3","4","Riv_SA","3","4","salivation phloem",0.796111111111107,2,0.398055555555553,"batch_2"
"18","1","8","3","4","Riv_SA","3","5","phloem feeding",85.5580555555556,2,42.7790277777778,"batch_2"
"19","1","8","3","4","Riv_SA","3","6","penetration difficulties",0,0,NA,"batch_2"
"20","1","8","3","4","Riv_SA","3","7","xylem ingestion",0,0,NA,"batch_2"
"21","1","8","3","4","Riv_SA","3","3","3",0,0,NA,"batch_2"
"22","1","8","3","4","Riv_SA","4","1","non probing",0,0,NA,"batch_2"
"23","1","8","3","4","Riv_SA","4","2","pathway",12.805,1,12.805,"batch_2"
"24","1","8","3","4","Riv_SA","4","4","salivation phloem",1.03750000000005,2,0.518750000000026,"batch_2"
"25","1","8","3","4","Riv_SA","4","5","phloem feeding",40.7983333333333,2,20.3991666666667,"batch_2"
"26","1","8","3","4","Riv_SA","4","6","penetration difficulties",0,0,NA,"batch_2"
"27","1","8","3","4","Riv_SA","4","7","xylem ingestion",0,0,NA,"batch_2"
"28","1","8","3","4","Riv_SA","4","3","3",0,0,NA,"batch_2"
"29","1","8","3","4","Riv_SA","5","1","non probing",0,0,NA,"batch_2"
"30","1","8","3","4","Riv_SA","5","2","pathway",1.03333333333334,1,1.03333333333334,"batch_2"
"31","1","8","3","4","Riv_SA","5","4","salivation phloem",0,0,NA,"batch_2"
"32","1","8","3","4","Riv_SA","5","5","phloem feeding",0,0,NA,"batch_2"
"33","1","8","3","4","Riv_SA","5","6","penetration difficulties",0,0,NA,"batch_2"
"34","1","8","3","4","Riv_SA","5","7","xylem ingestion",0,0,NA,"batch_2"
"35","1","8","3","4","Riv_SA","5","3","3",0,0,NA,"batch_2"
"36","1","8","3","4","Riv_SA","6","1","non probing",6.63305555555553,3,2.21101851851851,"batch_2"
"37","1","8","3","4","Riv_SA","6","2","pathway",22.795,4,5.69875000000001,"batch_2"
"38","1","8","3","4","Riv_SA","6","4","salivation phloem",4.41777777777768,3,1.47259259259256,"batch_2"
"39","1","8","3","4","Riv_SA","6","5","phloem feeding",44.3000000000001,2,22.15,"batch_2"
"40","1","8","3","4","Riv_SA","6","6","penetration difficulties",0,0,NA,"batch_2"
"41","1","8","3","4","Riv_SA","6","7","xylem ingestion",0,0,NA,"batch_2"
"42","1","8","3","4","Riv_SA","6","3","3",0,0,NA,"batch_2"
"43","1","8","3","4","Riv_SA","7","1","non probing",53.6427777777777,1,53.6427777777777,"batch_2"
"44","1","8","3","4","Riv_SA","7","2","pathway",0,0,NA,"batch_2"
"45","1","8","3","4","Riv_SA","7","4","salivation phloem",0,0,NA,"batch_2"
"46","1","8","3","4","Riv_SA","7","5","phloem feeding",0,0,NA,"batch_2"
"47","1","8","3","4","Riv_SA","7","6","penetration difficulties",0,0,NA,"batch_2"
"48","1","8","3","4","Riv_SA","7","7","xylem ingestion",0,0,NA,"batch_2"
"49","1","8","3","4","Riv_SA","7","3","3",0,0,NA,"batch_2"
"50","1","8","3","4","Riv_SA","8","1","non probing",100,1,100,"batch_2"
"51","1","8","3","4","Riv_SA","8","2","pathway",0,0,NA,"batch_2"
"52","1","8","3","4","Riv_SA","8","4","salivation phloem",0,0,NA,"batch_2"
"53","1","8","3","4","Riv_SA","8","5","phloem feeding",0,0,NA,"batch_2"
"54","1","8","3","4","Riv_SA","8","6","penetration difficulties",0,0,NA,"batch_2"
"55","1","8","3","4","Riv_SA","8","7","xylem ingestion",0,0,NA,"batch_2"
"56","1","8","3","4","Riv_SA","8","3","3",0,0,NA,"batch_2"
"57","2","8","1","1","Riv_SA","1","1","non probing",2.69472222222222,2,1.34736111111111,"batch_2"
"58","2","8","1","1","Riv_SA","1","2","pathway",88.3138888888889,5,17.6627777777778,"batch_2"
"59","2","8","1","1","Riv_SA","1","4","salivation phloem",6.91694444444445,3,2.30564814814815,"batch_2"
"60","2","8","1","1","Riv_SA","1","5","phloem feeding",2.07444444444445,1,2.07444444444445,"batch_2"
"61","2","8","1","1","Riv_SA","1","6","penetration difficulties",0,0,NA,"batch_2"
"62","2","8","1","1","Riv_SA","1","7","xylem ingestion",0,0,NA,"batch_2"
"63","2","8","1","1","Riv_SA","1","3","3",0,0,NA,"batch_2"
"64","2","8","1","1","Riv_SA","2","1","non probing",3.17666666666665,2,1.58833333333333,"batch_2"
"65","2","8","1","1","Riv_SA","2","2","pathway",92.8166666666667,3,30.9388888888889,"batch_2"
"66","2","8","1","1","Riv_SA","2","4","salivation phloem",2.53472222222223,1,2.53472222222223,"batch_2"
"67","2","8","1","1","Riv_SA","2","5","phloem feeding",0,0,NA,"batch_2"
"68","2","8","1","1","Riv_SA","2","6","penetration difficulties",0,0,NA,"batch_2"
"69","2","8","1","1","Riv_SA","2","7","xylem ingestion",0,0,NA,"batch_2"
"70","2","8","1","1","Riv_SA","2","3","3",0,0,NA,"batch_2"
"71","2","8","1","1","Riv_SA","3","1","non probing",20.7919444444444,1,20.7919444444444,"batch_2"
"72","2","8","1","1","Riv_SA","3","2","pathway",20.0122222222222,1,20.0122222222222,"batch_2"
"73","2","8","1","1","Riv_SA","3","4","salivation phloem",0,0,NA,"batch_2"
"74","2","8","1","1","Riv_SA","3","5","phloem feeding",0,0,NA,"batch_2"
"75","2","8","1","1","Riv_SA","3","6","penetration difficulties",0,0,NA,"batch_2"
"76","2","8","1","1","Riv_SA","3","7","xylem ingestion",0,0,NA,"batch_2"
"77","2","8","1","1","Riv_SA","3","3","3",0,0,NA,"batch_2"
"78","2","8","1","1","Riv_SA","4","1","non probing",24.5911111111111,1,24.5911111111111,"batch_2"
"79","2","8","1","1","Riv_SA","4","2","pathway",48.6963888888889,1,48.6963888888889,"batch_2"
"80","2","8","1","1","Riv_SA","4","4","salivation phloem",0,0,NA,"batch_2"
"81","2","8","1","1","Riv_SA","4","5","phloem feeding",0,0,NA,"batch_2"
"82","2","8","1","1","Riv_SA","4","6","penetration difficulties",0,0,NA,"batch_2"
"83","2","8","1","1","Riv_SA","4","7","xylem ingestion",0,0,NA,"batch_2"
"84","2","8","1","1","Riv_SA","4","3","3",0,0,NA,"batch_2"
"85","2","8","1","1","Riv_SA","5","1","non probing",17.3580555555556,9,1.92867283950618,"batch_2"
"86","2","8","1","1","Riv_SA","5","2","pathway",77.9622222222222,8,9.74527777777777,"batch_2"
"87","2","8","1","1","Riv_SA","5","4","salivation phloem",0,0,NA,"batch_2"
"88","2","8","1","1","Riv_SA","5","5","phloem feeding",0,0,NA,"batch_2"
"89","2","8","1","1","Riv_SA","5","6","penetration difficulties",0,0,NA,"batch_2"
"90","2","8","1","1","Riv_SA","5","7","xylem ingestion",0,0,NA,"batch_2"
"91","2","8","1","1","Riv_SA","5","3","3",0,0,NA,"batch_2"
"92","2","8","1","1","Riv_SA","6","1","non probing",1.24277777777782,1,1.24277777777782,"batch_2"
"93","2","8","1","1","Riv_SA","6","2","pathway",88.2011111111112,4,22.0502777777778,"batch_2"
"94","2","8","1","1","Riv_SA","6","4","salivation phloem",6.50416666666662,3,2.16805555555554,"batch_2"
"95","2","8","1","1","Riv_SA","6","5","phloem feeding",2.27583333333333,1,2.27583333333333,"batch_2"
"96","2","8","1","1","Riv_SA","6","6","penetration difficulties",0,0,NA,"batch_2"
"97","2","8","1","1","Riv_SA","6","7","xylem ingestion",0,0,NA,"batch_2"
"98","2","8","1","1","Riv_SA","6","3","3",0,0,NA,"batch_2"
"99","2","8","1","1","Riv_SA","7","1","non probing",0,0,NA,"batch_2"
"100","2","8","1","1","Riv_SA","7","2","pathway",8.59777777777775,1,8.59777777777775,"batch_2"
"101","2","8","1","1","Riv_SA","7","4","salivation phloem",1.67555555555566,2,0.83777777777783,"batch_2"
"102","2","8","1","1","Riv_SA","7","5","phloem feeding",1.87472222222217,1,1.87472222222217,"batch_2"
"103","2","8","1","1","Riv_SA","7","6","penetration difficulties",0,0,NA,"batch_2"
