"ID","Phase","Experiment","Stress","herbivory","soil_inocula","plant_pathway_induced","Phytohormones","treatment","weight_mg","SA","JA","ABA","sum_JA_Ile","cis_OPDA","OH_JA","OH_JA_Ile","COOH_JA_Ile"
"136","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",13.2,273.554199927052,1445.09955860052,135.199089320149,166.55004381237,154.182044374388,31.572712811718,0,0
"137","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",15.3,641.6345809191,1266.13508603342,186.122819264404,155.290083069079,211.116245974634,22.0065579542704,0,0
"138","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",18.5,34.2842132680859,377.996638103765,150.884816197581,11.7521066426176,907.546009384909,19.1792215264632,0,0
"139","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",14.5,21.4776098440416,312.654137206032,315.95547354096,10.9089853210193,619.79350517069,0,0,0
"140","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",15.3,382.090006198059,1255.04138870206,73.2089031681393,173.665833745211,704.470117137936,33.0613168597136,0,0
"142","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",12.4,36.5756540191595,529.296548636977,388.720290838264,17.5013047716735,938.63522433272,0,0,0
"143","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",19.4,90.1321872636374,216.360571581935,142.496631351688,5.00716165596801,1299.79933439727,0,0,0
"144","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",16.5,50.8029265791532,375.460901084466,218.05443367591,19.376906853594,968.300853588219,0,0,0
"145","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",18.3,923.045887707608,1725.33436017544,297.512233838968,149.105988569806,661.774014217041,31.1153596673934,0,0
"146","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",15.7,20.96417282429,720.195206732731,351.991925618211,23.6283944163386,3002.21380237788,426.231586504319,13.2115753725764,24.4701575713901
